_step,val/dice,_timestamp,train/loss,val/overlay,val/iou,_runtime,val/loss,epoch,lr
0,0.5382631101679349,1777161539.215398,0.3732098663846652,,0.4326609562706465,845.289091647,0.27632040151015475,1,0.001
1,,1777161540.6981738,,"{'_type': 'image-file', 'format': 'png', 'path': 'media/images/val/overlay_1_d7d19ef27300985185bb.png', 'sha256': 'd7d19ef27300985185bb36bc66554ec62d01ca2e0da0f0b2ba0a09115de48a9a', 'size': 40543, 'height': 256, 'width': 256}",,846.771299622,,1,
2,0.5949541369660033,1777161840.1192703,0.23819205579840072,,0.47057172614667153,1146.192610352,0.243312976633509,2,0.001
3,,1777161841.4454002,,"{'format': 'png', 'path': 'media/images/val/overlay_3_c2aa8f6f839d93cb7a11.png', 'sha256': 'c2aa8f6f839d93cb7a11112e360e0a2ca60139af8ae0865c7d2f550505833640', 'size': 41006, 'height': 256, 'width': 256, '_type': 'image-file'}",,1147.51858351,,2,
4,0.6822261857213797,1777162140.5180113,0.20673475253993903,,0.581481648678029,1446.591352448,0.18984467877695957,3,0.001
5,,1777162141.9808974,,"{'height': 256, 'width': 256, '_type': 'image-file', 'format': 'png', 'path': 'media/images/val/overlay_5_40fe0c13bf881a19271f.png', 'sha256': '40fe0c13bf881a19271fd74e284ea1be772a4c8dc805b857b19bbf0dc8845044', 'size': 40225}",,1448.054039275,,3,
6,0.6930653245912658,1777162440.6840708,0.1899677535322139,,0.5986668162599758,1746.757538235,0.18361809132275758,4,0.001
7,,1777162442.032725,,"{'format': 'png', 'path': 'media/images/val/overlay_7_8441cb6f6f08d90755e0.png', 'sha256': '8441cb6f6f08d90755e00a4d19c4299971a02afeb472335eacbf9240be8da46f', 'size': 40323, 'height': 256, 'width': 256, '_type': 'image-file'}",,1748.105942027,,4,
8,0.6809097017954897,1777162741.0547218,0.16944570728100655,,0.5918015133313559,2047.128134172,0.18976341008588118,5,0.001
9,,1777162741.7914937,,"{'sha256': '35f2e5a63e43c7f41131d897fda0d137a192da05a02240ad0e15cd870bea71c1', 'size': 39933, 'height': 256, 'width': 256, '_type': 'image-file', 'format': 'png', 'path': 'media/images/val/overlay_9_35f2e5a63e43c7f41131.png'}",,2047.86460875,,5,
10,0.7219730012670711,1777163040.3607972,0.15897601442335824,,0.6237167967138467,2346.434073485,0.16608259130131314,6,0.001
11,,1777163041.69226,,"{'format': 'png', 'path': 'media/images/val/overlay_11_b9f65601130b97e9c5dd.png', 'sha256': 'b9f65601130b97e9c5dd7035446cd13ac1ad8e4c06acdae4456d5edfd01b8cc0', 'size': 40092, 'height': 256, 'width': 256, '_type': 'image-file'}",,2347.765501934,,6,
12,0.6984487391180463,1777163340.8426187,0.14335900837388948,,0.5915443688907005,2646.916098373,0.1816072445017872,7,0.001
13,,1777163341.5959103,,"{'size': 40728, 'height': 256, 'width': 256, '_type': 'image-file', 'format': 'png', 'path': 'media/images/val/overlay_13_685face682ebfd9aa5c6.png', 'sha256': '685face682ebfd9aa5c6f4f559f1f75476eb8c71e0a29b0514a20164b4e522c1'}",,2647.668987121,,7,
14,0.757456235035702,1777163640.8060756,0.13165814256128983,,0.6726503888214076,2946.879406107,0.14377595149670486,8,0.001
15,,1777163642.1829581,,"{'path': 'media/images/val/overlay_15_172613f3416a98e5269d.png', 'sha256': '172613f3416a98e5269d4b19e9ecfc2c6237a7fbbed9b7bff0d6aca462be062a', 'size': 40274, 'height': 256, 'width': 256, '_type': 'image-file', 'format': 'png'}",,2948.256346896,,8,
16,0.7688677669675262,1777163940.689349,0.12669993248745437,,0.6814698514839014,3246.76286962,0.13689792064811895,9,0.001
17,,1777163941.9938307,,"{'sha256': 'd5afd471f7773e516bc293153e3ad24f8bbeabcaa62a55d3eb029e229f5d4621', 'size': 39952, 'height': 256, 'width': 256, '_type': 'image-file', 'format': 'png', 'path': 'media/images/val/overlay_17_d5afd471f7773e516bc2.png'}",,3248.067018899,,9,
18,0.7642451938655641,1777164240.9538465,0.12110675838813792,,0.685069325759455,3547.027146576,0.13770325447398205,10,0.001
19,,1777164241.6453848,,"{'size': 39921, 'height': 256, 'width': 256, '_type': 'image-file', 'format': 'png', 'path': 'media/images/val/overlay_19_e3bbc9ee820c23b50aa1.png', 'sha256': 'e3bbc9ee820c23b50aa15259f3730311e2c8f5462bab0f4944c2897777f20667'}",,3547.71855666,,10,
20,0.7670000838460745,1777164540.335433,0.11725792935027218,,0.6686701584193442,3846.408853472,0.13968231691116537,11,0.001
21,,1777164541.0239398,,"{'width': 256, '_type': 'image-file', 'format': 'png', 'path': 'media/images/val/overlay_21_7b0323b6986d8323e3ed.png', 'sha256': '7b0323b6986d8323e3ed76b03d687e3210603220ffcb0439755beef507bd8e60', 'size': 40358, 'height': 256}",,3847.097120528,,11,
22,0.7939940840005875,1777164839.8311958,0.1103129685379383,,0.7054089186368165,4145.904543964,0.12276993443568547,12,0.001
