val/dice,train/loss,_timestamp,_step,val/loss,val/overlay,lr,epoch,val/iou,_runtime
0.5870285735086158,0.4621785558396723,1777120057.4692698,0,0.2767769309381644,,0.001,1,0.4792635824738277,33.826382401000004
,,1777120057.7914174,1,,"{'height': 128, 'width': 128, '_type': 'image-file', 'format': 'png', 'path': 'media/images/val/overlay_1_a97363a1da776a07908f.png', 'sha256': 'a97363a1da776a07908f6a9fb96ab7bb221ae051a74e6f1bdd5c57093efd403f', 'size': 12636}",,1,,34.148298721
0.685997917558308,0.2135228416693162,1777120085.9232,2,0.19280381297209748,,0.001,2,0.5885413911331583,62.280225687
,,1777120086.2704282,3,,"{'path': 'media/images/val/overlay_3_bd0a9d7b6166989b179e.png', 'sha256': 'bd0a9d7b6166989b179e1bb12c08d80a383cb7650ef81bc4bff25a5f72c9c31a', 'size': 12805, 'height': 128, 'width': 128, '_type': 'image-file', 'format': 'png'}",,2,,62.62721958
0.7130158968545772,0.17569119777015554,1777120114.3193514,4,0.1714701764975433,,0.001,3,0.6268259634574255,90.676254839
,,1777120114.6208525,5,,"{'sha256': '372d5b3d5fb77d8bc1aa8dc6a80783f95cd5d335e2e3272096ffe4104e56355b', 'size': 12516, 'height': 128, 'width': 128, '_type': 'image-file', 'format': 'png', 'path': 'media/images/val/overlay_5_372d5b3d5fb77d8bc1aa.png'}",,3,,90.977602603
0.7472172354658445,0.1587110891317328,1777120142.1656857,6,0.15109298085034997,,0.001,4,0.6597072956738649,118.522692065
,,1777120142.474391,7,,"{'size': 12753, 'height': 128, 'width': 128, '_type': 'image-file', 'format': 'png', 'path': 'media/images/val/overlay_7_1a7b529b8868812d49dc.png', 'sha256': '1a7b529b8868812d49dce0c5363a8bc976bdc425490ca6da57a2ed8991ad84a0'}",,4,,118.831154295
0.7484865936416166,0.14892380240153733,1777120170.2747407,8,0.14863613278915486,,0.001,5,0.6656212780486654,146.631716851
,,1777120170.592056,9,,"{'path': 'media/images/val/overlay_9_28291d92ba6ad28dc131.png', 'sha256': '28291d92ba6ad28dc1316fef13c60a8189a2b7dcb86641bafda2ad53afa2eb0b', 'size': 12653, 'height': 128, 'width': 128, '_type': 'image-file', 'format': 'png'}",,5,,146.948774883
0.7878587807494181,0.14228782783890884,1777120198.2341294,10,0.1273581526518144,,0.001,6,0.7011856279439397,174.591143716
,,1777120198.5439606,11,,"{'_type': 'image-file', 'format': 'png', 'path': 'media/images/val/overlay_11_d5612d89d368bb8b13f2.png', 'sha256': 'd5612d89d368bb8b13f2fb547b4168496f4aa59847c2bbab45b7f55e73bc7d53', 'size': 12519, 'height': 128, 'width': 128}",,6,,174.900715643
0.7487444507854956,0.13814555748358248,1777120225.911121,12,0.14897976036149044,,0.001,7,0.6645185359650188,202.26805818
,,1777120226.1734853,13,,"{'path': 'media/images/val/overlay_13_53389988d0c7aa30f690.png', 'sha256': '53389988d0c7aa30f6900295beffb68366536ac8a50d84b4686265a566484f92', 'size': 12649, 'height': 128, 'width': 128, '_type': 'image-file', 'format': 'png'}",,7,,202.530213757
0.7763333166087115,0.1322212838832804,1777120253.5076673,14,0.13310196590437381,,0.001,8,0.6891938883949209,229.864913443
,,1777120253.7548418,15,,"{'_type': 'image-file', 'format': 'png', 'path': 'media/images/val/overlay_15_fbec97270ad66cd87529.png', 'sha256': 'fbec97270ad66cd875291a9cab2350d96f0bc7edbfdaf9043d6e1c1dc3290427', 'size': 12675, 'height': 128, 'width': 128}",,8,,230.111573862
0.7973850377731853,0.12927662804571352,1777120281.3766565,16,0.12103888282069454,,0.001,9,0.7108847830030653,257.733542077
,,1777120281.6731095,17,,"{'size': 12719, 'height': 128, 'width': 128, '_type': 'image-file', 'format': 'png', 'path': 'media/images/val/overlay_17_1cb1ea28d42c9819c4af.png', 'sha256': '1cb1ea28d42c9819c4af9272457c755da24823d15e468f4476f6a1f0a9199d70'}",,9,,258.029839914
0.7809233588201029,0.12750159057114668,1777120309.4910214,18,0.12915914010739438,,0.001,10,0.691585575264913,285.847930021
,,1777120309.7383208,19,,"{'height': 128, 'width': 128, '_type': 'image-file', 'format': 'png', 'path': 'media/images/val/overlay_19_de00df867cc5e11cabb0.png', 'sha256': 'de00df867cc5e11cabb0139377851905a49311c429b0ffe0f3a027d6338a9d91', 'size': 12782}",,10,,286.095155775
0.7855709974688513,0.12367869673554248,1777120336.7360184,20,0.12680815774257537,,0.001,11,0.7058994088459898,313.092954577
,,1777120336.9867585,21,,"{'path': 'media/images/val/overlay_21_c015dd56b083935530e8.png', 'sha256': 'c015dd56b083935530e816da761285a1246e7ffdebab3110a986b29bff370c16', 'size': 12511, 'height': 128, 'width': 128, '_type': 'image-file', 'format': 'png'}",,11,,313.343459372
0.807952017419868,0.12100041921182376,1777120364.26259,22,0.11471660412779008,,0.001,12,0.7235502048775002,340.619443328
,,1777120364.542562,23,,"{'size': 12560, 'height': 128, 'width': 128, '_type': 'image-file', 'format': 'png', 'path': 'media/images/val/overlay_23_d85e6a10db8177c17325.png', 'sha256': 'd85e6a10db8177c17325540e850e4574c0696e70af0fbc4cce6104ea46364839'}",,12,,340.899310524
0.8124867534195935,0.1179641255942302,1777120392.176425,24,0.11089270337726231,,0.001,13,0.7311695314667843,368.534007575
,,1777120392.5066917,25,,"{'format': 'png', 'path': 'media/images/val/overlay_25_7739eb64ca5c4ba3134f.png', 'sha256': '7739eb64ca5c4ba3134f65b867988ea81ab5d51584d96d7841b21ae4d530af0c', 'size': 12533, 'height': 128, 'width': 128, '_type': 'image-file'}",,13,,368.863428778
0.8154879532478474,0.11290090955884718,1777120420.148173,26,0.10928944020566565,,0.001,14,0.7356147484646903,396.505229847
,,1777120420.472246,27,,"{'height': 128, 'width': 128, '_type': 'image-file', 'format': 'png', 'path': 'media/images/val/overlay_27_9ba26b607e2a788d991c.png', 'sha256': '9ba26b607e2a788d991cf2f74995a012648e7d29b9ed5811149567944174310c', 'size': 12512}",,14,,396.829082818
0.8155524865896614,0.11353563187204725,1777120448.0140154,28,0.10819443649853822,,0.001,15,0.7353568104682146,424.370901573
,,1777120448.3327022,29,,"{'height': 128, 'width': 128, '_type': 'image-file', 'format': 'png', 'path': 'media/images/val/overlay_29_d53cb5551e008583aed1.png', 'sha256': 'd53cb5551e008583aed1cdf3d22ab757c5612d4613bd21b3b2b9e516399021f7', 'size': 12575}",,15,,424.689405685
0.8076551545549322,0.11462711280862975,1777120475.7916644,30,0.11413211458259159,,0.001,16,0.7245383146736357,452.148761768
