lr,_step,val/iou,val/loss,_runtime,train/loss,val/overlay,val/dice,_timestamp,epoch
0.001,0,0.42287856462859996,0.28639701905625836,2.616316767,0.387192869346922,,0.5381759545179429,1777124394.6054075,1
,1,,,2.616316767,,"{'path': 'media/images/val/overlay_1_eee374a1a4ef66d6f791.png', 'sha256': 'eee374a1a4ef66d6f791a7d479df89f2f8d9dcceddfc74d7a8078b3df503bff1', 'size': 40671, 'height': 256, 'width': 256, '_type': 'image-file', 'format': 'png'}",,1777124395.37466,1
0.001,2,0.47595677623561733,0.2531454543824549,2.616316767,0.23888758470009014,,0.5733295564101861,1777124645.6578207,2
,3,,,2.616316767,,"{'sha256': 'e5105462ba1c8f5c85edd6eced7822364d0e2998673c713024a8bbd67d476a6e', 'size': 39967, 'height': 256, 'width': 256, '_type': 'image-file', 'format': 'png', 'path': 'media/images/val/overlay_3_e5105462ba1c8f5c85ed.png'}",,1777124646.7779381,2
0.001,4,0.471544592641294,0.25311153399309627,2.616316767,0.20537164022888593,,0.5708640669644983,1777124898.3669937,3
,5,,,2.616316767,,"{'width': 256, '_type': 'image-file', 'format': 'png', 'path': 'media/images/val/overlay_5_d26c562a38035f7d4d32.png', 'sha256': 'd26c562a38035f7d4d32ea4a625d6aa34c720bab9b97b927651ef5a6839b91b2', 'size': 40252, 'height': 256}",,1777124898.8103964,3
0.001,6,0.48141186987912216,0.2475913035924788,2.616316767,0.1878247615328528,,0.6008281387664653,1777125149.9844542,4
,7,,,2.616316767,,"{'_type': 'image-file', 'format': 'png', 'path': 'media/images/val/overlay_7_2c0d81ba2641ec068d70.png', 'sha256': '2c0d81ba2641ec068d70f3b978eef245f59173096a309d16359998985cfaa69b', 'size': 41127, 'height': 256, 'width': 256}",,1777125151.090837,4
0.001,8,0.6123947904065803,0.17003805435228128,2.616316767,0.16742369023007833,,0.7117996119238712,1777125402.860137,5
,9,,,2.616316767,,"{'sha256': '991e7a1474c842a0d4675f3d77866b881527fc741c0709fd9c39e005446deddd', 'size': 40541, 'height': 256, 'width': 256, '_type': 'image-file', 'format': 'png', 'path': 'media/images/val/overlay_9_991e7a1474c842a0d467.png'}",,1777125403.9483597,5
